campaign_groups,sentiment,total_words,words,portion_of_group
before,anger,99667,3731,3.7434657409
before,anticipation,99667,6230,6.2508152147
before,disgust,99667,2598,2.6066802452
before,fear,99667,4188,4.2019926355
before,joy,99667,5604,5.6227236698
before,negative,99667,7355,7.3795739814
before,positive,99667,12052,12.0922672499
before,sadness,99667,3839,3.8518265825
before,surprise,99667,4052,4.0655382423
before,trust,99667,7079,7.1026518306
during,anger,39723,1895,4.7705359615
during,anticipation,39723,2087,5.2538831407
during,disgust,39723,1196,3.0108501372
during,fear,39723,1666,4.194043753
during,joy,39723,1655,4.1663519875
during,negative,39723,3333,8.3906049392
during,positive,39723,4382,11.0313923923
during,sadness,39723,1843,4.6396294338
during,surprise,39723,1310,3.2978375249
during,trust,39723,2939,7.3987362485
after,anger,6678,336,5.0314465409
after,anticipation,6678,453,6.7834681042
after,disgust,6678,231,3.4591194969
after,fear,6678,366,5.4806828392
after,joy,6678,356,5.3309374064
after,negative,6678,615,9.209344115
after,positive,6678,878,13.1476489967
after,sadness,6678,325,4.8667265648
after,surprise,6678,217,3.249475891
after,trust,6678,612,9.1644204852
